luz,215.15,3
light,0,3
temperature,22.38,1
temperature,12.96,1
temperature,16.51,1
temperature,17.8,1
light,0,3
temperature,21.93,1
umidità,86,2
luminousFlux,0,3
donsu,60.03,0
temperature,21.03,1
relativeHumidity,82.98,2
relativeHumidity,71,2
sound,67.7,4
umidade,75,2
relativeHumidity,46,2
luminousFlux,5272.43,3
sound,2.3604782259904e-310,4
luminousFlux,21936.55,3
noise,50,4
temperature,17.22,1
temperature,20.51,1
noise,54.2,4
temperatura,15.8,1
sonido,82,4
sound,64.7,4
rptruemaete,121.65,0
noise,2.3604782259904e-310,4
sound,59.1,4
temperature,16.9,1
som,2.3604782259904e-310,4
luminousFlux,2294.25,3
som,50,4
sonido,2.3604782259904e-310,4
temperature,16.25,1
temperature,16.7,1
luminousFlux,4170.77,3
temperature,23.61,1
luminousFlux,0,3
luminous,836.71,3
light,0,3
umidade,63,2
umidità,68,2
luminousFlux,167490.28,3
light,0,3
temperature,21.29,1
temperature,21.22,1
temp,-50,1
temperature,26.19,1
temperature,15.16,1
light,21059.2,3
temperature,-50,1
relativeHumidity,42,2
unoxlmFuslui,159.74,0
luminousFlux,40519.39,3
temperature,15.93,1
light,697.36,3
temperature,19.54,1
temperature,16.96,1
temperature,16.45,1
light,0,3
light,2331.93,3
luminousFlux,0,3
luminousFlux,315.36,3
luminousFlux,2.3604782259904e-310,3
mtuediavleHiriyt,49.54,0
Humidity,86.64,2
light,18014.34,3
umidade,21,2
temperature,-46.58,1
euertetpmar,75.79,0
eprreaemutt,47.02,0
temperature,21.54,1
luminousFlux,2.3604782259904e-310,3
temperature,16.12,1
temperatura,19.67,1
umidità,73,2
noise,70.2,4
luz,0,3
som,59.1,4
sound,2.3604782259904e-310,4
umidità,70,2
umidade,86.05,2
umidità,75.99,2
luminousFlux,0,3
luminous,0,3
temperature,6.7,1
luminousFlux,0,3
temperature,-32.9,1
som,50,4
temperature,18.32,1
sound,53.8,4
luminous,0,3
umidità,43,2
som,62,4
sound,70.2,4
lux,6561887.4,3
temperature,17.16,1
sound,52.5,4
light,0,3
luminousFlux,0,3
luz,3302.97,3
sonido,62,4
temperatura,15.09,1
som,58,4
temperatura,16.58,1
duons,158.4,0
luminousFlux,1211.64,3
umidade,55,2
luminousFlux,4436.62,3
